AccessID,UserID,UserRole,Department,Timestamp,DayOfWeek,HourOfDay,PatientID,ActionType,DataSensitivity,AccessLocation,AccessCountPerDay,IsOffHours,IsWeekend,RoleRiskWeight,AccessRiskScore
A00079,U139,Nurse,Clinical,19/06/2025 22:02,Thursday,22,P392,View,Normal,Onsite,56,1,0,3,50
A00080,U072,Doctor,Clinical,12/06/2025 14:05,Thursday,14,P538,View,Normal,Onsite,25,0,0,2,20
A00081,U205,Nurse,Clinical,16/06/2025 17:54,Monday,17,P209,View,Normal,Remote,9,0,0,3,30
A00082,U181,Nurse,Clinical,24/06/2025 04:57,Tuesday,4,P340,View,Normal,Remote,25,1,0,3,50
A00083,U068,Doctor,Clinical,26/06/2025 17:34,Thursday,17,P260,View,Normal,Onsite,33,0,0,2,20
A00084,U095,Nurse,Clinical,02/06/2025 18:45,Monday,18,P165,Edit,Normal,Remote,26,0,0,3,30
A00085,U061,Doctor,Clinical,20/06/2025 06:38,Friday,6,P844,View,High,Remote,8,1,0,2,70
A00086,U169,Nurse,Clinical,16/06/2025 09:31,Monday,9,P814,Edit,Normal,Remote,46,0,0,3,30
A00087,U230,Nurse,Clinical,05/06/2025 01:16,Thursday,1,P989,Edit,Normal,Onsite,66,1,0,3,50
A00088,U080,Doctor,Clinical,16/06/2025 02:32,Monday,2,P369,View,Normal,Onsite,73,1,0,2,40
A00089,U165,Nurse,Clinical,24/06/2025 02:29,Tuesday,2,P395,View,Normal,Onsite,24,1,0,3,50
A00090,U150,Nurse,Clinical,17/06/2025 04:05,Tuesday,4,P990,View,Normal,Remote,64,1,0,3,50
A00091,U231,Nurse,Clinical,10/06/2025 14:31,Tuesday,14,P141,View,Normal,Onsite,4,0,0,3,30
A00092,U222,Nurse,Clinical,28/06/2025 02:31,Saturday,2,P465,View,Normal,Remote,73,1,1,3,50
A00093,U162,Nurse,Clinical,16/06/2025 10:22,Monday,10,P972,View,Normal,Remote,49,0,0,3,30
A00094,U280,Receptionist,Admin,11/06/2025 02:29,Wednesday,2,P130,Edit,Normal,Remote,57,1,0,4,60
A00095,U251,Nurse,Clinical,02/06/2025 12:21,Monday,12,P791,View,Normal,Remote,44,0,0,3,30
A00096,U017,Doctor,Clinical,28/06/2025 10:31,Saturday,10,P772,View,Normal,Onsite,35,0,1,2,20
A00097,U211,Nurse,Clinical,05/06/2025 06:45,Thursday,6,P163,View,Normal,Onsite,28,1,0,3,50
A00098,U194,Nurse,Clinical,04/06/2025 17:55,Wednesday,17,P890,View,Normal,Onsite,38,0,0,3,30
A00099,U160,Nurse,Clinical,23/06/2025 01:30,Monday,1,P410,View,Normal,Remote,30,1,0,3,50
A00100,U212,Nurse,Clinical,04/06/2025 02:46,Wednesday,2,P105,View,High,Remote,37,1,0,3,80
A00101,U177,Nurse,Clinical,12/06/2025 23:37,Thursday,23,P996,Export,Normal,Remote,75,1,0,3,70
A00102,U108,Nurse,Clinical,28/06/2025 02:29,Saturday,2,P301,Edit,Normal,Remote,9,1,1,3,50
A00103,U210,Nurse,Clinical,14/06/2025 11:34,Saturday,11,P828,View,High,Remote,16,0,1,3,60
A00104,U046,Doctor,Clinical,11/06/2025 14:25,Wednesday,14,P154,Export,Normal,Onsite,76,0,0,2,40
A00105,U051,Doctor,Clinical,09/06/2025 06:19,Monday,6,P562,View,High,Onsite,49,1,0,2,70
A00106,U016,Doctor,Clinical,28/06/2025 12:28,Saturday,12,P712,View,Normal,Onsite,25,0,1,2,20
A00107,U213,Nurse,Clinical,16/06/2025 08:40,Monday,8,P185,View,Normal,Onsite,79,0,0,3,30
A00108,U222,Nurse,Clinical,29/06/2025 07:02,Sunday,7,P434,View,Normal,Remote,34,1,1,3,50
A00109,U219,Nurse,Clinical,12/06/2025 21:23,Thursday,21,P245,View,High,Remote,17,1,0,3,80
A00110,U004,Doctor,Clinical,02/06/2025 15:55,Monday,15,P265,Export,Normal,Remote,21,0,0,2,40
A00111,U063,Doctor,Clinical,07/06/2025 03:59,Saturday,3,P840,Edit,Normal,Onsite,76,1,1,2,40
A00112,U011,Doctor,Clinical,16/06/2025 01:08,Monday,1,P551,View,High,Onsite,31,1,0,2,70
A00113,U276,Receptionist,Admin,25/06/2025 11:55,Wednesday,11,P116,View,Normal,Remote,7,0,0,4,40
A00114,U181,Nurse,Clinical,18/06/2025 04:34,Wednesday,4,P829,View,Normal,Remote,14,1,0,3,50
A00115,U180,Nurse,Clinical,13/06/2025 02:27,Friday,2,P248,View,Normal,Remote,22,1,0,3,50
A00116,U183,Nurse,Clinical,08/06/2025 20:23,Sunday,20,P762,View,Normal,Onsite,57,1,1,3,50
A00117,U279,Receptionist,Admin,25/06/2025 16:08,Wednesday,16,P120,View,Normal,Remote,14,0,0,4,40
A00118,U248,Nurse,Clinical,15/06/2025 01:23,Sunday,1,P755,View,Normal,Onsite,66,1,1,3,50
A00119,U249,Nurse,Clinical,19/06/2025 15:18,Thursday,15,P585,View,Normal,Remote,55,0,0,3,30
A00120,U297,Pharmacist,Pharmacy,08/06/2025 16:38,Sunday,16,P917,View,Normal,Onsite,44,0,1,3,30
A00121,U049,Doctor,Clinical,26/06/2025 17:20,Thursday,17,P588,View,Normal,Remote,30,0,0,2,20
A00122,U168,Nurse,Clinical,10/06/2025 02:20,Tuesday,2,P776,Edit,Normal,Remote,4,1,0,3,50
A00123,U217,Nurse,Clinical,25/06/2025 07:05,Wednesday,7,P361,View,High,Remote,12,1,0,3,80
A00124,U099,Nurse,Clinical,02/06/2025 20:30,Monday,20,P229,View,High,Remote,28,1,0,3,80
A00125,U122,Nurse,Clinical,02/06/2025 15:50,Monday,15,P345,Edit,High,Onsite,35,0,0,3,60
A00126,U013,Doctor,Clinical,07/06/2025 02:24,Saturday,2,P828,View,Normal,Onsite,78,1,1,2,40
A00127,U218,Nurse,Clinical,02/06/2025 00:55,Monday,0,P432,View,Normal,Onsite,74,1,0,3,50
A00128,U186,Nurse,Clinical,05/06/2025 01:10,Thursday,1,P955,View,Normal,Onsite,53,1,0,3,50
A00129,U181,Nurse,Clinical,09/06/2025 05:03,Monday,5,P605,View,Normal,Onsite,10,1,0,3,50
A00130,U182,Nurse,Clinical,23/06/2025 23:00,Monday,23,P457,View,Normal,Remote,61,1,0,3,50
A00131,U252,Nurse,Clinical,08/06/2025 00:10,Sunday,0,P725,View,High,Remote,28,1,1,3,80
A00132,U127,Nurse,Clinical,13/06/2025 10:26,Friday,10,P893,Edit,High,Remote,34,0,0,3,60
A00133,U235,Nurse,Clinical,07/06/2025 23:49,Saturday,23,P531,View,Normal,Onsite,18,1,1,3,50
A00134,U147,Nurse,Clinical,01/06/2025 13:01,Sunday,13,P274,Export,Normal,Onsite,25,0,1,3,50
A00135,U190,Nurse,Clinical,07/06/2025 15:03,Saturday,15,P311,View,High,Remote,61,0,1,3,60
A00136,U204,Nurse,Clinical,03/06/2025 08:51,Tuesday,8,P130,View,Normal,Onsite,5,0,0,3,30
A00137,U179,Nurse,Clinical,27/06/2025 12:48,Friday,12,P154,Edit,Normal,Onsite,14,0,0,3,30
A00138,U271,Receptionist,Admin,11/06/2025 11:31,Wednesday,11,P169,View,Normal,Remote,42,0,0,4,40
A00139,U097,Nurse,Clinical,17/06/2025 11:22,Tuesday,11,P978,View,Normal,Remote,21,0,0,3,30
A00140,U204,Nurse,Clinical,19/06/2025 07:10,Thursday,7,P451,View,High,Onsite,63,1,0,3,80
A00141,U141,Nurse,Clinical,09/06/2025 07:04,Monday,7,P724,Export,Normal,Remote,8,1,0,3,70
A00142,U010,Doctor,Clinical,03/06/2025 00:52,Tuesday,0,P926,View,Normal,Onsite,43,1,0,2,40
A00143,U251,Nurse,Clinical,28/06/2025 07:15,Saturday,7,P107,View,Normal,Onsite,4,1,1,3,50
A00144,U097,Nurse,Clinical,03/06/2025 15:13,Tuesday,15,P925,View,Normal,Remote,37,0,0,3,30
A00145,U097,Nurse,Clinical,04/06/2025 03:03,Wednesday,3,P377,View,Normal,Onsite,80,1,0,3,50
A00146,U128,Nurse,Clinical,19/06/2025 12:45,Thursday,12,P332,Edit,Normal,Onsite,75,0,0,3,30
A00147,U097,Nurse,Clinical,24/06/2025 12:54,Tuesday,12,P782,View,High,Remote,8,0,0,3,60
A00148,U101,Nurse,Clinical,07/06/2025 09:57,Saturday,9,P717,View,Normal,Onsite,8,0,1,3,30
A00149,U163,Nurse,Clinical,14/06/2025 07:47,Saturday,7,P122,View,Normal,Remote,54,1,1,3,50
A00150,U029,Doctor,Clinical,10/06/2025 13:00,Tuesday,13,P854,View,Normal,Remote,23,0,0,2,20
A00151,U126,Nurse,Clinical,16/06/2025 12:30,Monday,12,P789,View,Normal,Onsite,25,0,0,3,30
A00152,U038,Doctor,Clinical,13/06/2025 23:51,Friday,23,P267,Edit,Normal,Remote,77,1,0,2,40
A00153,U215,Nurse,Clinical,07/06/2025 11:55,Saturday,11,P326,Export,Normal,Remote,34,0,1,3,50
A00154,U087,Nurse,Clinical,25/06/2025 16:26,Wednesday,16,P368,View,Normal,Remote,54,0,0,3,30
A00155,U230,Nurse,Clinical,02/06/2025 04:27,Monday,4,P131,View,Normal,Onsite,37,1,0,3,50
A00156,U236,Nurse,Clinical,17/06/2025 02:30,Tuesday,2,P954,View,High,Onsite,52,1,0,3,80
A00157,U018,Doctor,Clinical,11/06/2025 18:29,Wednesday,18,P547,View,High,Remote,62,0,0,2,50
A00158,U041,Doctor,Clinical,06/06/2025 11:01,Friday,11,P698,Edit,Normal,Onsite,22,0,0,2,20
A00159,U231,Nurse,Clinical,24/06/2025 12:52,Tuesday,12,P745,View,Normal,Onsite,8,0,0,3,30
A00160,U026,Doctor,Clinical,22/06/2025 02:59,Sunday,2,P392,View,Normal,Remote,50,1,1,2,40
A00161,U163,Nurse,Clinical,08/06/2025 04:40,Sunday,4,P155,Edit,High,Onsite,31,1,1,3,80
A00162,U183,Nurse,Clinical,13/06/2025 19:43,Friday,19,P594,Export,Normal,Onsite,18,1,0,3,70
A00163,U055,Doctor,Clinical,13/06/2025 01:41,Friday,1,P531,View,Normal,Onsite,49,1,0,2,40
A00164,U061,Doctor,Clinical,03/06/2025 14:26,Tuesday,14,P737,Export,High,Onsite,65,0,0,2,70
A00165,U248,Nurse,Clinical,15/06/2025 11:03,Sunday,11,P229,View,High,Onsite,52,0,1,3,60
A00166,U019,Doctor,Clinical,19/06/2025 04:33,Thursday,4,P467,View,High,Onsite,1,1,0,2,70
A00167,U208,Nurse,Clinical,09/06/2025 03:29,Monday,3,P328,Edit,Normal,Remote,27,1,0,3,50
A00168,U291,Pharmacist,Pharmacy,21/06/2025 03:30,Saturday,3,P749,View,Normal,Onsite,56,1,1,3,50
A00169,U231,Nurse,Clinical,15/06/2025 05:02,Sunday,5,P445,View,Normal,Remote,31,1,1,3,50
A00170,U256,Admin,Admin,25/06/2025 02:32,Wednesday,2,P838,View,Normal,Onsite,27,1,0,5,70
A00171,U088,Nurse,Clinical,19/06/2025 09:59,Thursday,9,P608,View,Normal,Remote,67,0,0,3,30
A00172,U139,Nurse,Clinical,13/06/2025 11:27,Friday,11,P135,View,Normal,Onsite,5,0,0,3,30
A00173,U195,Nurse,Clinical,06/06/2025 17:53,Friday,17,P826,Edit,Normal,Remote,30,0,0,3,30
A00174,U261,Admin,Admin,06/06/2025 02:52,Friday,2,P850,Edit,Normal,Onsite,30,1,0,5,70
A00175,U058,Doctor,Clinical,22/06/2025 13:57,Sunday,13,P764,View,Normal,Remote,47,0,1,2,20
A00176,U232,Nurse,Clinical,04/06/2025 12:11,Wednesday,12,P254,Edit,Normal,Onsite,7,0,0,3,30
A00177,U191,Nurse,Clinical,15/06/2025 10:37,Sunday,10,P630,View,Normal,Remote,68,0,1,3,30
A00178,U141,Nurse,Clinical,21/06/2025 15:40,Saturday,15,P285,View,Normal,Remote,78,0,1,3,30
A00179,U190,Nurse,Clinical,27/06/2025 14:37,Friday,14,P781,View,Normal,Remote,15,0,0,3,30
A00180,U089,Nurse,Clinical,16/06/2025 09:54,Monday,9,P862,View,Normal,Onsite,12,0,0,3,30
A00181,U126,Nurse,Clinical,14/06/2025 09:17,Saturday,9,P617,View,Normal,Onsite,49,0,1,3,30
A00182,U143,Nurse,Clinical,12/06/2025 07:58,Thursday,7,P658,Edit,High,Onsite,1,1,0,3,80
A00183,U082,Doctor,Clinical,01/06/2025 09:31,Sunday,9,P220,View,Normal,Remote,76,0,1,2,20
A00184,U070,Doctor,Clinical,18/06/2025 16:24,Wednesday,16,P571,View,Normal,Remote,70,0,0,2,20
A00185,U241,Nurse,Clinical,09/06/2025 04:28,Monday,4,P339,View,Normal,Onsite,16,1,0,3,50
A00186,U153,Nurse,Clinical,12/06/2025 09:06,Thursday,9,P296,View,Normal,Onsite,13,0,0,3,30
A00187,U091,Nurse,Clinical,28/06/2025 20:41,Saturday,20,P545,View,Normal,Remote,66,1,1,3,50
A00188,U005,Doctor,Clinical,08/06/2025 08:51,Sunday,8,P556,View,Normal,Onsite,76,0,1,2,20
A00189,U084,Doctor,Clinical,06/06/2025 05:44,Friday,5,P491,View,High,Onsite,20,1,0,2,70
A00190,U057,Doctor,Clinical,15/06/2025 00:19,Sunday,0,P543,Export,Normal,Onsite,56,1,1,2,60
A00191,U156,Nurse,Clinical,08/06/2025 21:36,Sunday,21,P775,View,High,Onsite,70,1,1,3,80
A00192,U148,Nurse,Clinical,16/06/2025 12:17,Monday,12,P494,View,Normal,Onsite,21,0,0,3,30
A00193,U232,Nurse,Clinical,24/06/2025 07:47,Tuesday,7,P562,Edit,High,Onsite,47,1,0,3,80
A00194,U024,Doctor,Clinical,11/06/2025 13:59,Wednesday,13,P651,View,Normal,Remote,74,0,0,2,20
A00195,U031,Doctor,Clinical,05/06/2025 04:55,Thursday,4,P331,View,Normal,Onsite,28,1,0,2,40
A00196,U186,Nurse,Clinical,09/06/2025 13:53,Monday,13,P911,View,Normal,Remote,50,0,0,3,30
A00197,U050,Doctor,Clinical,05/06/2025 05:00,Thursday,5,P318,View,Normal,Onsite,8,1,0,2,40
A00198,U241,Nurse,Clinical,18/06/2025 02:16,Wednesday,2,P305,View,Normal,Onsite,23,1,0,3,50
A00199,U175,Nurse,Clinical,30/06/2025 01:20,Monday,1,P910,View,Normal,Onsite,77,1,0,3,50
A00200,U213,Nurse,Clinical,14/06/2025 07:00,Saturday,7,P820,View,Normal,Remote,63,1,1,3,50
A00201,U262,Admin,Admin,10/06/2025 19:48,Tuesday,19,P850,View,Normal,Onsite,13,1,0,5,70
A00202,U229,Nurse,Clinical,10/06/2025 17:42,Tuesday,17,P937,View,Normal,Onsite,58,0,0,3,30
A00203,U200,Nurse,Clinical,27/06/2025 10:21,Friday,10,P738,View,High,Onsite,13,0,0,3,60
A00204,U275,Receptionist,Admin,29/06/2025 05:47,Sunday,5,P138,Edit,Normal,Onsite,44,1,1,4,60
A00205,U271,Receptionist,Admin,15/06/2025 15:38,Sunday,15,P807,View,Normal,Onsite,21,0,1,4,40
A00206,U054,Doctor,Clinical,04/06/2025 02:04,Wednesday,2,P905,View,High,Remote,36,1,0,2,70
A00207,U077,Doctor,Clinical,03/06/2025 06:51,Tuesday,6,P620,View,Normal,Onsite,35,1,0,2,40
A00208,U173,Nurse,Clinical,13/06/2025 12:15,Friday,12,P150,View,Normal,Remote,58,0,0,3,30
A00209,U179,Nurse,Clinical,23/06/2025 02:53,Monday,2,P410,View,High,Remote,54,1,0,3,80
A00210,U122,Nurse,Clinical,18/06/2025 04:40,Wednesday,4,P571,View,Normal,Remote,8,1,0,3,50
A00211,U062,Doctor,Clinical,23/06/2025 04:17,Monday,4,P591,View,Normal,Remote,26,1,0,2,40
A00212,U141,Nurse,Clinical,11/06/2025 11:02,Wednesday,11,P646,View,Normal,Remote,8,0,0,3,30
A00213,U262,Admin,Admin,28/06/2025 22:55,Saturday,22,P723,View,Normal,Remote,51,1,1,5,70
A00214,U257,Admin,Admin,11/06/2025 21:13,Wednesday,21,P778,View,Normal,Remote,50,1,0,5,70
A00215,U253,Admin,Admin,23/06/2025 03:52,Monday,3,P905,View,Normal,Onsite,71,1,0,5,70
A00216,U188,Nurse,Clinical,19/06/2025 06:33,Thursday,6,P734,View,High,Remote,50,1,0,3,80
A00217,U237,Nurse,Clinical,25/06/2025 01:46,Wednesday,1,P342,View,Normal,Remote,20,1,0,3,50
A00218,U108,Nurse,Clinical,06/06/2025 15:47,Friday,15,P671,View,Normal,Remote,49,0,0,3,30
A00219,U141,Nurse,Clinical,01/06/2025 14:38,Sunday,14,P746,View,High,Remote,77,0,1,3,60
A00220,U020,Doctor,Clinical,11/06/2025 16:57,Wednesday,16,P939,Edit,Normal,Remote,35,0,0,2,20
A00221,U176,Nurse,Clinical,28/06/2025 07:15,Saturday,7,P457,Export,Normal,Remote,59,1,1,3,70
A00222,U227,Nurse,Clinical,02/06/2025 12:39,Monday,12,P767,Edit,Normal,Onsite,63,0,0,3,30
A00223,U038,Doctor,Clinical,22/06/2025 06:41,Sunday,6,P808,View,High,Onsite,48,1,1,2,70
A00224,U062,Doctor,Clinical,14/06/2025 12:04,Saturday,12,P694,View,Normal,Remote,13,0,1,2,20
A00225,U121,Nurse,Clinical,09/06/2025 02:54,Monday,2,P815,Edit,Normal,Remote,37,1,0,3,50
A00226,U188,Nurse,Clinical,27/06/2025 17:12,Friday,17,P649,Edit,Normal,Remote,28,0,0,3,30
A00227,U199,Nurse,Clinical,16/06/2025 15:29,Monday,15,P287,Edit,Normal,Onsite,66,0,0,3,30
A00228,U046,Doctor,Clinical,15/06/2025 02:02,Sunday,2,P525,View,Normal,Onsite,2,1,1,2,40
A00229,U295,Pharmacist,Pharmacy,01/06/2025 09:08,Sunday,9,P131,Edit,Normal,Remote,28,0,1,3,30
A00230,U130,Nurse,Clinical,29/06/2025 00:56,Sunday,0,P508,Edit,Normal,Remote,8,1,1,3,50
A00231,U092,Nurse,Clinical,01/06/2025 22:03,Sunday,22,P129,Edit,High,Remote,24,1,1,3,80
A00232,U021,Doctor,Clinical,07/06/2025 20:23,Saturday,20,P139,Edit,High,Onsite,59,1,1,2,70
A00233,U237,Nurse,Clinical,15/06/2025 23:18,Sunday,23,P161,View,Normal,Remote,60,1,1,3,50
A00234,U174,Nurse,Clinical,02/06/2025 06:23,Monday,6,P111,View,Normal,Onsite,32,1,0,3,50
A00235,U157,Nurse,Clinical,12/06/2025 03:33,Thursday,3,P326,View,Normal,Onsite,72,1,0,3,50
